"","Activity","Subject","Measurement","Triaxial","BodyMotionAcceleration","GravitationalAcceleration","GyroscopeVelocity"
"25","laying","5","mean","X",0.278334325576923,-0.483470597692308,-0.0218935013501923
"26","laying","5","mean","Y",-0.0183042123269231,0.954890346153846,-0.0798709596153846
"27","laying","5","mean","Z",-0.107937603673077,0.263644691923077,0.159894366942308
"28","laying","5","std","X",-0.965934509615385,-0.945695336153846,-0.979498706538462
"29","laying","5","std","Y",-0.969295613269231,-0.985964053846154,-0.977427370576923
"30","laying","5","std","Z",-0.968562516346154,-0.977076645,-0.960583776923077
"31","laying","6","mean","X",0.248656520140351,-0.47670987877193,-0.0079605026754386
"32","laying","6","mean","Y",-0.0102529170561404,0.956593814210526,-0.107218315054386
"33","laying","6","mean","Z",-0.133119570368421,0.175867709021053,0.179102058245614
"34","laying","6","std","X",-0.934049422052632,-0.887746310350877,-0.955378225087719
"35","laying","6","std","Y",-0.924644826385965,-0.959161956491228,-0.943634949473684
"36","laying","6","std","Z",-0.925216100350877,-0.928130738421053,-0.939141878596491
"37","laying","7","mean","X",0.250176694038462,-0.502814250576923,-0.00282641913096154
"38","laying","7","mean","Y",-0.0204411516884615,0.393444278076923,-0.133605695057692
"39","laying","7","mean","Z",-0.101361036576923,0.907537823461538,0.155920029769231
"40","laying","7","std","X",-0.93651361,-0.914221270096154,-0.9601268225
"41","laying","7","std","Y",-0.926262668653846,-0.955543549230769,-0.945071935384615
"42","laying","7","std","Z",-0.952978365961538,-0.961908984423077,-0.955294890576923
"43","laying","8","mean","X",0.261254282907407,-0.405930036111111,0.00535361206851852
"44","laying","8","mean","Y",-0.0212281733881481,0.589922434814815,-0.0891374138592593
"45","laying","8","mean","Z",-0.102245365611111,0.719831539259259,0.13818830737037
"46","laying","8","std","X",-0.94304121537037,-0.918873192333333,-0.965204017592593
"47","laying","8","std","Y",-0.93489116,-0.957990036481481,-0.952039385740741
"48","laying","8","std","Z",-0.932491454407407,-0.94183626337037,-0.96758975462963
"49","laying","9","mean","X",0.2591955368,-0.5802528348,-0.013632036148
"50","laying","9","mean","Y",-0.020526821662,-0.1191541962,-0.15890291983
"51","laying","9","mean","Z",-0.10754972144,0.9578730416,0.101275010682
"52","laying","9","std","X",-0.94233309,-0.9218210626,-0.9422465098
"53","laying","9","std","Y",-0.9162927764,-0.9699944882,-0.9266185314
"54","laying","9","std","Z",-0.9407072854,-0.9712046902,-0.9615953704
"55","laying","10","mean","X",0.280230574137931,-0.453069737586207,-0.019555937162069
"56","laying","10","mean","Y",-0.024294484137931,-0.139297681034483,-0.0770325657265517
"57","laying","10","mean","Z",-0.117168642362069,-0.031121624137931,0.104720478344828
"58","laying","10","std","X",-0.968283685,-0.954531941896552,-0.961713199827586
"59","laying","10","std","Y",-0.946454302068966,-0.966701156034483,-0.953660207586207
"60","laying","10","std","Z",-0.95947148637931,-0.963045642431035,-0.971940597413793
"61","laying","11","mean","X",0.280592970877193,-0.134832031403509,-0.0191743840136842
"62","laying","11","mean","Y",-0.0176598052315789,0.943017941403509,-0.041559989822807
"63","laying","11","mean","Z",-0.108786578070175,0.112620189964912,0.152019015929825
"64","laying","11","std","X",-0.98477733,-0.97956560245614,-0.980836884561403
"65","laying","11","std","Y",-0.972196873859649,-0.990765579649123,-0.982442644035088
"66","laying","11","std","Z",-0.971311176842105,-0.984192606315789,-0.959897432807018
"67","laying","12","mean","X",0.260113433,-0.3785920653,-0.0146546807316667
"68","laying","12","mean","Y",-0.0175203917146667,0.8033788345,-0.0835537350333333
"69","laying","12","mean","Z",-0.108160125666667,0.2750431984,0.14519184795
"70","laying","12","std","X",-0.95531868,-0.936458309333333,-0.966090742
"71","laying","12","std","Y",-0.949072009333333,-0.974396492666667,-0.953873893833333
"72","laying","12","std","Z",-0.9483338435,-0.9596439555,-0.950157442166667
"73","laying","13","mean","X",0.276716360483871,-0.156852206467742,-0.00973609968045161
"74","laying","13","mean","Y",-0.020440454366129,0.656400944354839,-0.0966250701451613
"75","laying","13","mean","Z",-0.104331864532258,0.598884988709677,0.117819614790323
"76","laying","13","std","X",-0.968891989354839,-0.957875244677419,-0.972143470322581
"77","laying","13","std","Y",-0.950947949516129,-0.975948136290323,-0.96270462
"78","laying","13","std","Z",-0.950392995483871,-0.959892863709677,-0.967350513709678
"79","laying","14","mean","X",0.233275439803922,-0.145483631627451,0.00505221181607843
"80","laying","14","mean","Y",-0.0113424652490196,0.48539692745098,-0.153423807745098
"81","laying","14","mean","Z",-0.0868333315509804,0.83656291,0.149124058235294
"82","laying","14","std","X",-0.917501887333333,-0.862136937254902,-0.957221015098039
"83","laying","14","std","Y",-0.909697040980392,-0.94877486372549,-0.932499780588235
"84","laying","14","std","Z",-0.900331921686275,-0.90130385627451,-0.952296965294118
"85","laying","15","mean","X",0.2894756525,-0.1719930545,-0.0168300887791667
"86","laying","15","mean","Y",-0.0166296542054167,0.899242553055556,-0.0619700871944444
"87","laying","15","mean","Z",-0.118530240291667,-0.0369192905555556,0.113451899791667
"88","laying","15","std","X",-0.972255551527778,-0.961509742916667,-0.957167680694444
"89","laying","15","std","Y",-0.962759422361111,-0.986036192361111,-0.961142911805556
"90","laying","15","std","Z",-0.929586835277778,-0.950710357083333,-0.956537051666667
"91","laying","16","mean","X",0.274227162571429,-0.206783742242857,-0.0161545406857143
"92","laying","16","mean","Y",-0.0166103510562857,-0.0199270225714286,-0.113675060885714
"93","laying","16","mean","Z",-0.107310493242857,0.893884468571429,0.0966210349428571
"94","laying","16","std","X",-0.973691429428571,-0.963761977857143,-0.977010769857143
"95","laying","16","std","Y",-0.943061150285714,-0.966087103857143,-0.970747514
"96","laying","16","std","Z",-0.965490276285714,-0.967886002,-0.984781484857143
"97","laying","17","mean","X",0.269780085577465,-0.19913309,-0.0234756467113239
"98","laying","17","mean","Y",-0.0168462006729577,0.658792072253521,-0.0944580192535211
"99","laying","17","mean","Z",-0.107006279704225,0.722657502112676,0.111440490309859
"100","laying","17","std","X",-0.972960567323944,-0.961063222394366,-0.975893061830986
"101","laying","17","std","Y",-0.944792875211268,-0.961466681267606,-0.971484336197183
"102","laying","17","std","Z",-0.953476700140845,-0.957164565211268,-0.976200771267606
"103","laying","18","mean","X",0.274691576923077,-0.220600509076923,-0.02517618068
"104","laying","18","mean","Y",-0.0173937684615385,0.719755403692308,-0.0837587308153846
"105","laying","18","mean","Z",-0.107698927907692,0.605495317692308,0.0937781948153846
"106","laying","18","std","X",-0.984527649230769,-0.982715987538462,-0.992872598
"107","laying","18","std","Y",-0.986160920923077,-0.994093522615385,-0.984202872923077
"108","laying","18","std","Z",-0.987658662307692,-0.990957249538462,-0.985108386307692
"109","laying","19","mean","X",0.272653733493976,-0.680043155060241,-0.0312072730559566
"110","laying","19","mean","Y",-0.0171426864421687,0.725646622771084,-0.0952628014096386
"111","laying","19","mean","Z",-0.10898146186747,0.68762385253012,0.10860511373494
"112","laying","19","std","X",-0.965019579518072,-0.958959611084337,-0.981357611445783
"113","laying","19","std","Y",-0.973449968554217,-0.986993149638554,-0.963617705662651
"114","laying","19","std","Z",-0.984672837228916,-0.988819031566265,-0.973197523855422
"115","laying","20","mean","X",0.239507882205882,-0.472431415573529,-0.0231760616308824
"116","laying","20","mean","Y",-0.0144406281132353,0.864882956617647,-0.0954899626029412
"117","laying","20","mean","Z",-0.104274322538235,0.477573305,0.123680209926471
"118","laying","20","std","X",-0.962249114705882,-0.928674215147059,-0.984477414264706
"119","laying","20","std","Y",-0.964098180294118,-0.976018476911765,-0.972941910294118
"120","laying","20","std","Z",-0.972571998382353,-0.9765185525,-0.972409893529412
"121","laying","21","mean","X",0.271325472455556,-0.174349174822222,-0.0305126188777778
"122","laying","21","mean","Y",-0.0184233048415556,0.599992678,-0.113800486377778
"123","laying","21","mean","Z",-0.103253832233333,0.788251027111111,0.0980906517
"124","laying","21","std","X",-0.955019866222222,-0.945905270555556,-0.975411857555555
"125","laying","21","std","Y",-0.956959422222222,-0.983732936111111,-0.952147091444445
"126","laying","21","std","Z",-0.945653787777778,-0.952416332444444,-0.981345430888889
"127","laying","22","mean","X",0.279959721194444,-0.418494577083333,-0.0208311371125
"128","laying","22","mean","Y",-0.0142629864502778,0.632484075694444,-0.09257231175
"129","laying","22","mean","Z",-0.110800924652778,0.771903907083333,0.145003879319444
"130","laying","22","std","X",-0.947735251944445,-0.928781249027778,-0.956641905833333
"131","laying","22","std","Y",-0.913276301666667,-0.958826938556945,-0.9618849625
"132","laying","22","std","Z",-0.942945807916667,-0.952435389166667,-0.933251870694444
"133","laying","23","mean","X",0.274038007986111,-0.391564962777778,-0.0113399724663889
"134","laying","23","mean","Y",-0.0216553835833333,0.438434067361111,-0.105052917
"135","laying","23","mean","Z",-0.104256776291667,0.918782825277778,0.111078594708333
"136","laying","23","std","X",-0.956756363194444,-0.947948758194444,-0.981849400972222
"137","laying","23","std","Y",-0.976309827361111,-0.982794562916667,-0.959195236388889
"138","laying","23","std","Z",-0.973223495416667,-0.976780462083333,-0.983920132638889
"139","laying","24","mean","X",0.272850494930556,-0.359292534027778,-0.0143679929444444
"140","laying","24","mean","Y",-0.0173555210111111,0.738430699305555,-0.0955538053611111
"141","laying","24","mean","Z",-0.107236237236111,0.683839909722222,0.111730746333333
"142","laying","24","std","X",-0.967984021111111,-0.960412164305556,-0.982651720138889
"143","laying","24","std","Y",-0.983126461944444,-0.993454358055556,-0.960299550972222
"144","laying","24","std","Z",-0.973566958888889,-0.979239668194445,-0.98170136125
"145","laying","25","mean","X",0.250791828613699,-0.461102531369863,0.00372723459589041
"146","laying","25","mean","Y",-0.0188943663671233,0.620658919917808,-0.0716401726150685
"147","laying","25","mean","Z",-0.100428830260274,0.526353818315069,0.139718671465753
"148","laying","25","std","X",-0.909116474109589,-0.829554947808219,-0.889769639726027
"149","laying","25","std","Y",-0.691770680561644,-0.643578361424658,-0.936630803287671
"150","laying","25","std","Z",-0.717262004013699,-0.610161166287671,-0.91092799
"151","laying","26","mean","X",0.271645864540789,-0.621309715263158,-0.0170656239526316
"152","laying","26","mean","Y",-0.0191895728026316,0.803015011578947,-0.0903229228815789
"153","laying","26","mean","Z",-0.105002540289474,0.614523405921053,0.152436344328947
"154","laying","26","std","X",-0.969445445263158,-0.944472488552632,-0.990328197763158
"155","laying","26","std","Y",-0.983231351842105,-0.987887995263158,-0.97932567881579
"156","laying","26","std","Z",-0.984500013157895,-0.984081708947368,-0.969302237763158
"157","laying","27","mean","X",0.274102492432432,-0.530434604864865,-0.0195427328781081
"158","laying","27","mean","Y",-0.0179867611216216,0.567879494054054,-0.0957839566891892
"159","laying","27","mean","Z",-0.107699732837838,0.84539238027027,0.118738360783784
"160","laying","27","std","X",-0.978455153108108,-0.971183862702703,-0.988837212162162
"161","laying","27","std","Y",-0.983736043783784,-0.993701742972973,-0.98428747527027
"162","laying","27","std","Z",-0.986636996081081,-0.989056311351351,-0.97837499972973
"163","laying","28","mean","X",0.2759134825,-0.490334541875,-0.017367705735
"164","laying","28","mean","Y",-0.0167537858225,0.1440732745,-0.097448733725
"165","laying","28","mean","Z",-0.1083448529625,0.0157570025,0.09357912315
"166","laying","28","std","X",-0.9688882955,-0.970599089375,-0.95516227975
"167","laying","28","std","Y",-0.945386780375,-0.9697590285,-0.960057463625
"168","laying","28","std","Z",-0.956450342875,-0.97912466575,-0.96237491175
"169","laying","29","mean","X",0.287295196811594,-0.346789842753623,-0.0258281004782609
"170","laying","29","mean","Y",-0.0171965484202899,0.807535373478261,-0.0761814357028986
"171","laying","29","mean","Z",-0.109462068173913,0.590452224057971,0.127411971652174
"172","laying","29","std","X",-0.984219555507246,-0.972939889855073,-0.994276591304348
"173","laying","29","std","Y",-0.990240946666667,-0.99424764884058,-0.992750957826087
"174","laying","29","std","Z",-0.987255149855072,-0.985778178260869,-0.97499461942029
"175","laying","30","mean","X",0.281033900571429,-0.344737755285714,-0.0267812218571429
"176","laying","30","mean","Y",-0.0194494098614286,0.732661247714286,-0.0761476351714286
"177","laying","30","mean","Z",-0.1036581505,0.681459210714286,0.0938472163142857
"178","laying","30","std","X",-0.976362515428571,-0.979563942714286,-0.973662822428571
"179","laying","30","std","Y",-0.954201823857143,-0.988930714857143,-0.966041673
"180","laying","30","std","Z",-0.967044236428572,-0.983274524857143,-0.968889156142857
"181","sitting","1","mean","X",0.261237565425532,0.831509933404255,-0.045350056512766
"182","sitting","1","mean","Y",-0.00130828765170213,0.204411592680851,-0.0919241549361702
"183","sitting","1","mean","Z",-0.104544182255319,0.332043702765957,0.0629313811914894
"184","sitting","1","std","X",-0.977229008297872,-0.968457145744681,-0.977211283191489
"185","sitting","1","std","Y",-0.922618641914894,-0.935517055957447,-0.966473895319149
"186","sitting","1","std","Z",-0.93958629106383,-0.949040933191489,-0.941425920851064
"187","sitting","2","mean","X",0.27708735173913,0.940477273043478,-0.0454706620434783
"188","sitting","2","mean","Y",-0.0156879937282609,-0.105630024498783,-0.0599286797043478
"189","sitting","2","mean","Z",-0.109218272456522,0.19872676876087,0.0412277462173913
"190","sitting","2","std","X",-0.986822279565217,-0.979988760869565,-0.985742027826087
"191","sitting","2","std","Y",-0.950704499130435,-0.956750273043478,-0.978919526956522
"192","sitting","2","std","Z",-0.95982817173913,-0.954415873043478,-0.959803708695652
"193","sitting","3","mean","X",0.257197599134615,0.901098984615385,-0.0385365204807692
"194","sitting","3","mean","Y",-0.00350299841730769,0.127303379245962,-0.07524100275
"195","sitting","3","mean","Z",-0.0983579203269231,0.139020582461538,0.0940113975530769
"196","sitting","3","std","X",-0.971010120961538,-0.957324457884615,-0.965434768461539
"197","sitting","3","std","Y",-0.856617812115385,-0.903923008269231,-0.944854571346154
"198","sitting","3","std","Z",-0.875110175384615,-0.897736318269231,-0.926413710384615
"199","sitting","4","mean","X",0.27153827992,0.8693030064,-0.04944351156
"200","sitting","4","mean","Y",-0.007163065158,0.211622539936894,-0.08943006108
"201","sitting","4","mean","Z",-0.10587459588,0.11012048108,0.10115033478
"202","sitting","4","std","X",-0.980309931,-0.9814052948,-0.9701317904
"203","sitting","4","std","Y",-0.89022398108,-0.93272710386,-0.9584681204
"204","sitting","4","std","Z",-0.9322030066,-0.9509492546,-0.9279722294
"205","sitting","5","mean","X",0.273694139545455,0.880731443863636,-0.0422355209795455
"206","sitting","5","mean","Y",-0.00990083527045455,0.168445524,-0.0835484079545454
"207","sitting","5","mean","Z",-0.108540300265909,0.143006857611364,0.0823934451590909
"208","sitting","5","std","X",-0.980945022045455,-0.983137541590909,-0.966225485
"209","sitting","5","std","Y",-0.904335121022727,-0.939942979795455,-0.950064068181818
"210","sitting","5","std","Z",-0.926094740227273,-0.945008999545454,-0.940637937045455
"211","sitting","6","mean","X",0.276778487454545,0.933692934909091,-0.0372442282830909
"212","sitting","6","mean","Y",-0.0145911615290909,0.0682628663363636,-0.0899083302550909
"213","sitting","6","mean","Z",-0.110127728709091,0.0695219657167273,0.0854346006181818
"214","sitting","6","std","X",-0.980164933636364,-0.988872369272727,-0.957367681818182
"215","sitting","6","std","Y",-0.923682131090909,-0.960875994727273,-0.944130044727273
"216","sitting","6","std","Z",-0.925797097090909,-0.955475832363636,-0.939681350909091
"217","sitting","7","mean","X",0.284674637291667,0.969147824375,-0.04963797197125
"218","sitting","7","mean","Y",-0.01461097580375,0.00608846646041667,-0.03361196465625
"219","sitting","7","mean","Z",-0.122464597625,0.0649636250354167,0.0259476655145833
"220","sitting","7","std","X",-0.972668374583333,-0.957082433333333,-0.941870953333333
"221","sitting","7","std","Y",-0.909454698541667,-0.945436264583333,-0.944124336458333
"222","sitting","7","std","Z",-0.8565329414375,-0.868602535416667,-0.937021208541667
"223","sitting","8","mean","X",0.267491472934783,0.832453878043478,-0.0547396987173913
"224","sitting","8","mean","Y",-0.00672550621304348,0.240095117065217,-0.0955089236521739
"225","sitting","8","mean","Z",-0.104461049130435,0.263895185521739,0.0716048809782609
"226","sitting","8","std","X",-0.979026152391304,-0.966757967173913,-0.984524052826087
"227","sitting","8","std","Y",-0.927331997021739,-0.937462301369565,-0.97150069673913
"228","sitting","8","std","Z",-0.939553030217391,-0.935475331521739,-0.959623548478261
"229","sitting","9","mean","X",0.24832674354,0.9163245106,-0.042328876778
"230","sitting","9","mean","Y",-0.02701677698,-0.0414258228938,-0.04142711812
"231","sitting","9","mean","Z",-0.07537846886,0.085263099144,0.0807919285908
"232","sitting","9","std","X",-0.9572277914,-0.9552804062,-0.9590200492
"233","sitting","9","std","Y",-0.875141405,-0.94645197,-0.9191882264
"234","sitting","9","std","Z",-0.83200187268,-0.88585411242,-0.9301768338
"235","sitting","10","mean","X",0.270612056481481,0.791887198148148,-0.0432432176851852
"236","sitting","10","mean","Y",-0.015042681852037,-0.041260775,-0.0679993598888889
"237","sitting","10","mean","Z",-0.104253238796296,0.20253457287037,0.0745958869444444
"238","sitting","10","std","X",-0.982901825925926,-0.973128354074074,-0.988873097222222
"239","sitting","10","std","Y",-0.917979529962963,-0.935690006481481,-0.984373304814815
"240","sitting","10","std","Z",-0.967826981666667,-0.966898520555556,-0.960445962037037
"241","sitting","11","mean","X",0.276590197358491,0.871963798301887,-0.0399984915849057
"242","sitting","11","mean","Y",-0.0149195616754717,0.213716305739623,-0.0755284478679245
"243","sitting","11","mean","Z",-0.112840218339623,0.188531695981132,0.0761739419056604
"244","sitting","11","std","X",-0.982796562075472,-0.988069341132075,-0.988164911509434
"245","sitting","11","std","Y",-0.921402118113207,-0.949792572075472,-0.982249040188679
"246","sitting","11","std","Z",-0.968370181886792,-0.971661610754717,-0.95284431245283
"247","sitting","12","mean","X",0.275007224901961,0.926228975490196,-0.0424159182941177
"248","sitting","12","mean","Y",-0.0157892988523529,0.0830509010823529,-0.0751980398235294
"249","sitting","12","mean","Z",-0.106307228960784,0.0885640696078431,0.0728462158235294
"250","sitting","12","std","X",-0.982568781960784,-0.985203642352941,-0.974425351960784
"251","sitting","12","std","Y",-0.92858124,-0.963641979215686,-0.960497127647059
"252","sitting","12","std","Z",-0.939661889019608,-0.956208629607843,-0.951552533137255
"253","sitting","13","mean","X",0.274328499591837,0.92557651244898,-0.0355124856836735
"254","sitting","13","mean","Y",-0.00587732936326531,0.101769752489796,-0.0902687401836735
"255","sitting","13","mean","Z",-0.0972465110836735,0.0757773858163265,0.0823432026610204
"256","sitting","13","std","X",-0.989546275306122,-0.981379112653061,-0.985844263265306
"257","sitting","13","std","Y",-0.938967741632653,-0.951353064693878,-0.979668456122449
"258","sitting","13","std","Z",-0.938641215510204,-0.930979556938776,-0.966896414285714
"259","sitting","14","mean","X",0.279990577037037,0.939038759814815,-0.0440403326851852
"260","sitting","14","mean","Y",-0.00870565463888889,-0.0364533962277778,-0.0713478280925926
"261","sitting","14","mean","Z",-0.100401490425926,-0.0945970534814815,0.0928523607037037
"262","sitting","14","std","X",-0.976302248148148,-0.976280399444444,-0.980829981481481
"263","sitting","14","std","Y",-0.914935703907407,-0.95032266362963,-0.962048191666667
"264","sitting","14","std","Z",-0.922774835740741,-0.938415738148148,-0.952904383518518
"265","sitting","15","mean","X",0.27290337979661,0.89036426220339,-0.0377111130338983
"266","sitting","15","mean","Y",-0.0117188472271186,0.210849305016949,-0.0803428762830508
"267","sitting","15","mean","Z",-0.11366125320339,0.00281565980440678,0.0951978083898305
"268","sitting","15","std","X",-0.987084356101695,-0.982620883728814,-0.988204115254237
"269","sitting","15","std","Y",-0.922407162881356,-0.943561411694915,-0.975321519491525
"270","sitting","15","std","Z",-0.949338025084746,-0.952973658983051,-0.963765802881356
"271","sitting","16","mean","X",0.280768574492754,0.942457377971014,-0.0412014042275362
"272","sitting","16","mean","Y",-0.0102497939956522,-0.086588253942029,-0.0574525433043478
"273","sitting","16","mean","Z",-0.0891404038405797,0.0892682200463768,0.0795736310463768
"274","sitting","16","std","X",-0.986825605362319,-0.980158243333333,-0.981037373333333
"275","sitting","16","std","Y",-0.951607872463768,-0.968023206956522,-0.958336595507246
"276","sitting","16","std","Z",-0.939672247101449,-0.945813561478261,-0.960287831304348
"277","sitting","17","mean","X",0.2773570196875,0.94488374765625,-0.042549159015625
"278","sitting","17","mean","Y",-0.014156274084375,-0.002814673171875,-0.0669245931234375
"279","sitting","17","mean","Z",-0.11362408509375,-0.135803881679687,0.0860053803375
"280","sitting","17","std","X",-0.9944439053125,-0.99019661703125,-0.98963832578125
"281","sitting","17","std","Y",-0.96185862984375,-0.9667201059375,-0.98612868078125
"282","sitting","17","std","Z",-0.96572919578125,-0.9566106440625,-0.9797052259375
"283","sitting","18","mean","X",0.27727001877193,0.909816469298246,-0.0333057034385965
"284","sitting","18","mean","Y",-0.0128691279736842,0.12988647622807,-0.0685796341105263
"285","sitting","18","mean","Z",-0.111904775824561,0.161877417894737,0.0848140511754386
"286","sitting","18","std","X",-0.994347988596491,-0.994043771403509,-0.991956958947368
"287","sitting","18","std","Y",-0.974928131052632,-0.984035479473684,-0.986753343859649
"288","sitting","18","std","Z",-0.977572717017544,-0.978340183157895,-0.981525495438596
"289","sitting","19","mean","X",0.273830316164384,0.581371509041096,-0.0214151280054795
"290","sitting","19","mean","Y",-0.016739260030137,0.360343534657534,-0.0520207886438356
"291","sitting","19","mean","Z",-0.10870765430137,0.489126594657534,0.0968980718168493
"292","sitting","19","std","X",-0.976357663013699,-0.969355010136986,-0.984625306849315
"293","sitting","19","std","Y",-0.950388943972603,-0.96996981369863,-0.959758309589041
"294","sitting","19","std","Z",-0.951929615068493,-0.960394960821918,-0.96559497630137
"295","sitting","20","mean","X",0.278045439090909,0.924454522424242,-0.036405928969697
"296","sitting","20","mean","Y",-0.0147229305131818,0.0733385412878788,-0.0650689347121212
"297","sitting","20","mean","Z",-0.108369634515152,0.151679135228788,0.0642882138333333
"298","sitting","20","std","X",-0.983081858939394,-0.985829034393939,-0.976309017121212
"299","sitting","20","std","Y",-0.93612270469697,-0.966983534242424,-0.960104508636364
"300","sitting","20","std","Z",-0.929106396818182,-0.935854966151515,-0.945771803484848
"301","sitting","21","mean","X",0.277539616823529,0.940031368,-0.0198712820612471
"302","sitting","21","mean","Y",-0.0144009705494118,0.0215206708823529,-0.0653077503317647
"303","sitting","21","mean","Z",-0.112057887741176,-0.0567766060705882,0.0831326042823529
"304","sitting","21","std","X",-0.991777287176471,-0.992936404470588,-0.988410501294118
"305","sitting","21","std","Y",-0.966877560941176,-0.979355363176471,-0.976380487294118
"306","sitting","21","std","Z",-0.959567861764706,-0.965426493882353,-0.976972658588235
"307","sitting","22","mean","X",0.273583822709677,0.839305928709677,-0.0360430675032258
"308","sitting","22","mean","Y",-0.0123468446419355,0.208553884,-0.0793617444354839
"309","sitting","22","mean","Z",-0.105827369516129,0.315551492322581,0.0804426775241936
"310","sitting","22","std","X",-0.978466823709677,-0.972009988709677,-0.981099172419355
"311","sitting","22","std","Y",-0.928059133795645,-0.954225015274194,-0.950173478548387
"312","sitting","22","std","Z",-0.917564853870968,-0.927950649854839,-0.946501417741935
"313","sitting","23","mean","X",0.273351251617647,0.936509242941177,-0.0472583464367647
"314","sitting","23","mean","Y",-0.0133945015676471,0.1217510625,-0.0684325551029412
"315","sitting","23","mean","Z",-0.103808679294118,0.0630111556279412,0.0645673209117647
"316","sitting","23","std","X",-0.987607636617647,-0.984536722205882,-0.980363734264706
"317","sitting","23","std","Y",-0.934933559264706,-0.960917426323529,-0.948109526029412
"318","sitting","23","std","Z",-0.905584390323529,-0.923953600294118,-0.9597186325
"319","sitting","24","mean","X",0.273475690147059,0.919637604411765,-0.0356229619955882
"320","sitting","24","mean","Y",-0.0131255097938235,0.182254651955882,-0.0750132697044118
"321","sitting","24","mean","Z",-0.103041061426471,0.109559621020588,0.0800440230882353
"322","sitting","24","std","X",-0.990593766617647,-0.989660149852941,-0.988111648676471
"323","sitting","24","std","Y",-0.956255962058823,-0.971692544705882,-0.977954005147059
"324","sitting","24","std","Z",-0.957056111470588,-0.963406795735294,-0.971277654117647
"325","sitting","25","mean","X",0.278541482461538,0.865686078153846,-0.0352052091230769
"326","sitting","25","mean","Y",-0.0147696808030769,0.208287142261538,-0.0748002714615385
"327","sitting","25","mean","Z",-0.109160440476923,0.167140956385077,0.0852783892769231
"328","sitting","25","std","X",-0.991892828615385,-0.988879980615385,-0.989907584153846
"329","sitting","25","std","Y",-0.947457617061538,-0.963415016923077,-0.981193501846154
"330","sitting","25","std","Z",-0.965139552153846,-0.969459982461539,-0.972637558615385
"331","sitting","26","mean","X",0.258243530166667,0.782955611794872,-0.0370217449628205
"332","sitting","26","mean","Y",-0.00713364541358974,0.223105562025641,-0.0840648503320513
"333","sitting","26","mean","Z",-0.0974448692333333,0.314387627435897,0.0711109471666667
"334","sitting","26","std","X",-0.979768987948718,-0.965082925641026,-0.991027700512821
"335","sitting","26","std","Y",-0.94079896551282,-0.949286700807692,-0.973444813846154
"336","sitting","26","std","Z",-0.950004414102564,-0.944580863846154,-0.966441338076923
"337","sitting","27","mean","X",0.273941302571429,0.839464714,-0.0371830822285714
"338","sitting","27","mean","Y",-0.0155269799285714,0.212947021371429,-0.0797345645214286
"339","sitting","27","mean","Z",-0.105521912588571,0.276417431042857,0.0833752812157143
"340","sitting","27","std","X",-0.988580107714286,-0.982445738,-0.988492425142857
"341","sitting","27","std","Y",-0.971579125714286,-0.982553336571429,-0.982067465142857
"342","sitting","27","std","Z",-0.965858735142857,-0.967268066,-0.975713310142857
"343","sitting","28","mean","X",0.276977629444444,0.907331309166667,-0.0339018030166667
"344","sitting","28","mean","Y",-0.0185404441258333,-0.112596728361111,-0.0673943850555556
"345","sitting","28","mean","Z",-0.111517939555556,0.135402566816667,0.087025401375
"346","sitting","28","std","X",-0.983272806805556,-0.989132499583333,-0.979671983472222
"347","sitting","28","std","Y",-0.939905244861111,-0.971766352361111,-0.956316505972222
